id;client_id;marca;carro;modelo;year;color;plate;chassis;km;fuel_type;notes;is_active;created_at;updated_at;versao;ultimo_km;origem_contato
;16804;;2008 ALLURE PK;;21|22;;RTM4F34;;;3975;;;;;;;
;16805;;HB20 10M SENSE;;22|22;;GJJ6H41;;;3975;;;;;;;
;16806;JEEP;RENEGADE;;22|22;;FIM9G42;;;3975;;;;;;;
;16807;;2008 ALLURE PK;;21|22;;RTM4F41;;;3975;;;;;;;
;16808;VW;T CROSS CL TSI AD;VW/T CROSS CL TSI AD;21|21;BRANCA;RMT9E01;9BWBH6BF3M4062776;;192;;;;;;;
;16809;FIAT;IDEA ADVENTURE 1.8;FIAT/IDEA ADVENTURE 1.8;14|14;VERMELHA;FUS2471;9BD13531CE2261365;;1751;;;;;;;
;16810;FIAT;;1.0;21|22;PRATA;RNO3D33;9BD358A1NNYL54945;;6455;;;;;;;
;16811;FIAT;;1.0;21|22;PRATA;RNO3D33;9BD358A1NNYL54945;;6455;;;;;;;
;16812;FIAT;;1.0;21|22;PRATA;RNO3D33;9BD358A1NNYL54945;;6455;;;;;;;
;16813;FIAT;;1.0;21|22;PRATA;RNO3D33;9BD358A1NNYL54945;;6455;;;;;;;
;16814;FIAT;;1.0;21|22;PRATA;RNO3D33;9BD358A1NNYL54945;;6455;;;;;;;
;16815;FIAT;;1.0;21|22;PRATA;RNO3D33;9BD358A1NNYL54945;;6455;;;;;;;
;16816;FIAT;;1.0;21|22;PRATA;RNO3D33;9BD358A1NNYL54945;;6455;;;;;;;
;16817;FIAT;;1.0;21|22;PRATA;RNO3D33;9BD358A1NNYL54945;;6455;;;;;;;
;16818;FIAT;;1.0;21|22;PRATA;RNO3D33;9BD358A1NNYL54945;;6455;;;;;;;
;16819;RENAULT;REANAULT/OROCH 16 4X2;REANAULT/OROCH 16 4X2;21|22;BRANCA;RMZ9E59;93Y9SR3H5NJ911060;;192;;;;;;;
;16820;RENAULT;REANAULT/OROCH 16 4X2;REANAULT/OROCH 16 4X2;21|22;BRANCA;RMZ9E59;93Y9SR3H5NJ911060;;192;;;;;;;
;16821;CHEV/ONIX JOY;CHEV/ONIX JOY;1.0;ll|20;PRATA;QWV8119;9BGKL48U0LB159020;;5826;;;;;;;
;16822;CHEVROLET;ONIX 1.0MT LT;1.O;19|19;PRETA;ETT1025;9BGKS48U0KG384094;;6598;;;;;;;
;16823;;2008 ALLURE EAT6;;21|22;;RTO0H79;;;3975;;;;;;;
;16824;VW;NOVA SAVEIRO TL MBVS;1.6;18|19;BRANCA;QOI7262;9BWKB45U5KP001473;;6599;;;;;;;
;16825;;ARGO DRIVE 1.0;FIAT/ARGO DRIVE 1.0;20|20;BRANCA;RFI0A16;9BD358A4NLYK54868;;3975;;;;;;;
;16826;FIAT;I/FIAT CRONOS DRIVE 1.3;1.3;21|22;VERMELHA;RNF9G93;8AP359A1DNU151271;;6066;;;;;;;
;16827;;GOL MPI;;22|23;;FVU1B97;;;3975;;;;;;;
;16828;;MOBI LIKE;;21|22;;RNU4G82;;;3975;;;;;;;
;16829;CHEV;ONIX PLUS 10TAT LTZ;1.0 12V;22|22;CINZA;RUA7A24;;;192;;;;;;;
;16830;JEEP;COMPASS LONGITUDE F;JEEP/COMPASS LONGITUDE F;21|21;BRANCA;RMK4B08;98867512WMKK57250;;192;;;;;;;
;16831;;HB20 10M VISION;;22|22;;GFG5G96;;;3975;;;;;;;
;16832;VWW;T CROSS HL TSI AE;1.4 250 TSI 16V;21|21;CINZA;RNT5G30;;;192;;;;;;;
;16833;VW;VW/VIRTUS CL AD;2.0;20|21;CINZA;RFP1F79;9BWDH5BZ9MP019717;;5826;;;;;;;
;16834;;VERSA ADVNC CVT;;21|22;;RTT8C95;;;3975;;;;;;;
;16835;;HB20 1.0M COMFOR;HYUNDAI/HB20 1.0M COMFOR;16|16;CINZA;GIW1742;9BHBG51CAGP564776;;6600;;;;;;;
;16836;VW;VOYAGE 1.0L MC4;VW/VOYAGE 1.0L MC4;21|22;PRETA;RNP6I11;9BWDG45U4NT050184;;192;;;;;;;
;16837;FIAT;FIAT DUCATO CHASSI L;;21|21;;RTX8F48;;;3975;;;;;;;
;16838;;HB20S 10M EVOLUT;;21|22;;RTM3J59;;;3975;;;;;;;
;16839;HYUNDAI;;;22|22;;GDV1F57;;;3975;;;;;;;
;16840;;CRETA 16A ATTITU;HYUNDAI/CRETA 16A ATTITU;21|21;BRANCA;RNI8A93;9BHGA811BMP247036;;3975;;;;;;;
;16841;HYUNDAI;HB20;;22|22;;EBV9D14;;;3975;;;;;;;
;16842;;208 ALLURE AT;;22|23;;RUJ0B92;;;3975;;;;;;;
;16843;FIAT;LOGAN ZEN10MT;1.0;22|23;PRETA;RTU3C18;;;6541;;;;;;;
